Model,ROC_AUC,PR_AUC,Precision,Recall_Sensitivity,F1
Logistic Regression,0.983,0.772,0.376,0.957,0.54
Random Forest,0.984,0.795,0.528,0.901,0.666
Gradient Boosting,0.984,0.796,0.426,0.952,0.589
RUSBoost,0.968,0.576,0.317,0.941,0.474
